year,team,host_continent,team_confederation,is_host_region,historical_appearances,historical_win_rate,historical_avg_goals_scored,advanced_group_stage
1930,Argentina,South America,CONMEBOL,1,0,0.0,0.0,1
1930,Belgium,South America,UEFA,0,0,0.0,0.0,0
1930,Bolivia,South America,CONMEBOL,1,0,0.0,0.0,0
1930,Brazil,South America,CONMEBOL,1,0,0.0,0.0,0
1930,Chile,South America,CONMEBOL,1,0,0.0,0.0,0
1930,France,South America,UEFA,0,0,0.0,0.0,0
1930,Mexico,South America,CONCACAF,0,0,0.0,0.0,0
1930,Paraguay,South America,CONMEBOL,1,0,0.0,0.0,0
1930,Peru,South America,CONMEBOL,1,0,0.0,0.0,0
1930,Romania,South America,UEFA,0,0,0.0,0.0,0
1930,Serbia,South America,UEFA,0,0,0.0,0.0,1
1930,United States,South America,CONCACAF,0,0,0.0,0.0,1
1930,Uruguay,South America,CONMEBOL,1,0,0.0,0.0,1
1934,Argentina,Europe,CONMEBOL,0,1,1.0,3.3333,0
1934,Austria,Europe,UEFA,1,0,0.0,0.0,1
1934,Belgium,Europe,UEFA,1,1,0.0,0.0,0
1934,Brazil,Europe,CONMEBOL,0,1,0.5,2.5,0
1934,Czech Republic,Europe,UEFA,1,0,0.0,0.0,1
1934,Egypt,Europe,CAF,0,0,0.0,0.0,0
1934,France,Europe,UEFA,1,1,0.3333,1.3333,0
1934,Germany,Europe,UEFA,1,0,0.0,0.0,1
1934,Hungary,Europe,UEFA,1,0,0.0,0.0,1
1934,Italy,Europe,UEFA,1,0,0.0,0.0,1
1934,Netherlands,Europe,UEFA,1,0,0.0,0.0,0
1934,Romania,Europe,UEFA,1,1,0.5,1.5,0
1934,Spain,Europe,UEFA,1,0,0.0,0.0,1
1934,Sweden,Europe,UEFA,1,0,0.0,0.0,1
1934,Switzerland,Europe,UEFA,1,0,0.0,0.0,1
1934,United States,Europe,CONCACAF,0,1,1.0,3.0,0
1938,Belgium,Europe,UEFA,1,2,0.0,0.6667,0
1938,Brazil,Europe,CONMEBOL,0,2,0.3333,2.0,1
1938,Cuba,Europe,CONCACAF,0,0,0.0,0.0,1
1938,Czech Republic,Europe,UEFA,1,1,1.0,2.0,1
1938,France,Europe,UEFA,1,2,0.25,1.5,1
1938,Germany,Europe,UEFA,1,1,1.0,5.0,0
1938,Hungary,Europe,UEFA,1,1,1.0,4.0,1
1938,Indonesia,Europe,AFC,0,0,0.0,0.0,0
1938,Italy,Europe,UEFA,1,1,1.0,7.0,1
1938,Netherlands,Europe,UEFA,1,1,0.0,2.0,0
1938,Norway,Europe,UEFA,1,0,0.0,0.0,0
1938,Poland,Europe,UEFA,1,0,0.0,0.0,0
1938,Romania,Europe,UEFA,1,2,0.3333,1.3333,0
1938,Switzerland,Europe,UEFA,1,1,1.0,3.0,1
1950,Bolivia,South America,CONMEBOL,1,1,0.0,0.0,0
1950,Brazil,South America,CONMEBOL,1,3,0.5,3.0,0
1950,Chile,South America,CONMEBOL,1,1,0.6667,1.6667,0
1950,England,South America,UEFA,0,0,0.0,0.0,0
1950,Italy,South America,UEFA,0,2,1.0,4.5,0
1950,Mexico,South America,CONCACAF,0,1,0.0,1.3333,0
1950,Paraguay,South America,CONMEBOL,1,1,0.5,0.5,0
1950,Serbia,South America,UEFA,0,1,1.0,3.0,0
1950,Spain,South America,UEFA,0,1,1.0,3.0,0
1950,Sweden,South America,UEFA,0,1,1.0,3.0,0
1950,Switzerland,South America,UEFA,0,2,0.6667,2.6667,0
1950,United States,South America,CONCACAF,0,2,0.6667,2.3333,0
1950,Uruguay,South America,CONMEBOL,1,1,1.0,2.5,0
1954,Austria,Europe,UEFA,1,1,1.0,3.0,1
1954,Belgium,Europe,UEFA,1,3,0.0,0.75,0
1954,Brazil,Europe,CONMEBOL,0,4,0.6,3.4,1
1954,Czech Republic,Europe,UEFA,1,2,1.0,2.5,0
1954,England,Europe,UEFA,1,1,0.3333,0.6667,1
1954,France,Europe,UEFA,1,3,0.4,1.8,0
1954,Germany,Europe,UEFA,1,2,0.3333,2.6667,1
1954,Hungary,Europe,UEFA,1,2,1.0,5.0,1
1954,Italy,Europe,UEFA,1,3,0.75,3.25,0
1954,Mexico,Europe,CONCACAF,0,2,0.0,1.0,0
1954,Scotland,Europe,UEFA,1,0,0.0,0.0,0
1954,Serbia,Europe,UEFA,1,2,0.8,2.6,1
1954,South Korea,Europe,AFC,0,0,0.0,0.0,0
1954,Switzerland,Europe,UEFA,1,3,0.5,2.0,1
1954,Turkey,Europe,UEFA,1,0,0.0,0.0,0
1954,Uruguay,Europe,CONMEBOL,0,2,0.8333,3.3333,1
1958,Argentina,Europe,CONMEBOL,0,2,0.75,3.0,0
1958,Austria,Europe,UEFA,1,2,1.0,3.0,0
1958,Brazil,Europe,CONMEBOL,0,5,0.5833,3.3333,1
1958,Czech Republic,Europe,UEFA,1,3,0.5,1.25,0
1958,England,Europe,UEFA,1,2,0.4,1.6,0
1958,France,Europe,UEFA,1,4,0.4286,1.7143,1
1958,Germany,Europe,UEFA,1,3,0.5,3.6667,1
1958,Hungary,Europe,UEFA,1,3,1.0,6.75,0
1958,Mexico,Europe,CONCACAF,0,3,0.0,1.0,0
1958,Northern Ireland,Europe,UEFA,1,0,0.0,0.0,1
1958,Paraguay,Europe,CONMEBOL,0,2,0.25,0.75,0
1958,Russia,Europe,UEFA,1,0,0.0,0.0,1
1958,Scotland,Europe,UEFA,1,1,0.0,0.0,0
1958,Serbia,Europe,UEFA,1,3,0.7143,2.1429,1
1958,Sweden,Europe,UEFA,1,2,0.5,2.3333,1
1958,Wales,Europe,UEFA,1,0,0.0,0.0,1
1962,Argentina,South America,CONMEBOL,1,3,0.5714,2.4286,0
1962,Brazil,South America,CONMEBOL,1,6,0.6,3.0,1
1962,Bulgaria,South America,UEFA,0,0,0.0,0.0,0
1962,Chile,South America,CONMEBOL,1,2,0.5,1.6667,1
1962,Colombia,South America,CONMEBOL,1,0,0.0,0.0,0
1962,Czech Republic,South America,UEFA,0,4,0.375,1.75,1
1962,England,South America,UEFA,0,3,0.2222,1.3333,1
1962,Germany,South America,UEFA,0,4,0.4444,3.2222,1
1962,Hungary,South America,UEFA,0,4,0.625,4.25,1
1962,Italy,South America,UEFA,0,4,0.5714,2.7143,0
1962,Mexico,South America,CONCACAF,0,4,0.0,0.8182,0
1962,Russia,South America,UEFA,0,1,0.5,1.25,1
1962,Serbia,South America,UEFA,0,4,0.6,2.2,1
1962,Spain,South America,UEFA,0,2,0.5714,1.8571,0
1962,Switzerland,South America,UEFA,0,4,0.5556,2.0,0
1962,Uruguay,South America,CONMEBOL,1,3,0.875,3.625,0
1966,Argentina,Europe,CONMEBOL,0,4,0.5,1.9,1
1966,Brazil,Europe,CONMEBOL,0,7,0.6111,2.7222,0
1966,Bulgaria,Europe,UEFA,1,1,0.0,0.3333,0
1966,Chile,Europe,CONMEBOL,0,3,0.5556,1.6667,0
1966,England,Europe,UEFA,1,4,0.25,1.3333,1
1966,France,Europe,UEFA,1,5,0.5,2.3,0
1966,Germany,Europe,UEFA,1,5,0.5,2.75,1
1966,Hungary,Europe,UEFA,1,5,0.6364,3.8182,1
1966,Italy,Europe,UEFA,1,5,0.5,2.2,0
1966,Mexico,Europe,CONCACAF,0,5,0.0714,0.8571,0
1966,North Korea,Europe,AFC,0,0,0.0,0.0,1
1966,Portugal,Europe,UEFA,1,0,0.0,0.0,1
1966,Russia,Europe,UEFA,1,2,0.5714,1.8571,1
1966,Spain,Europe,UEFA,1,3,0.5,1.5,0
1966,Switzerland,Europe,UEFA,1,5,0.4167,1.6667,0
1966,Uruguay,Europe,CONMEBOL,0,4,0.7273,3.0,1
1970,Belgium,North America,UEFA,0,4,0.0,1.3333,0
1970,Brazil,North America,CONMEBOL,0,8,0.5714,2.5238,1
1970,Bulgaria,North America,UEFA,0,2,0.0,0.3333,0
1970,Czech Republic,North America,UEFA,0,5,0.3636,1.4545,0
1970,El Salvador,North America,CONCACAF,1,0,0.0,0.0,0
1970,England,North America,UEFA,0,5,0.3333,1.3333,1
1970,Germany,North America,UEFA,0,6,0.5333,2.6667,1
1970,Israel,North America,UEFA,0,0,0.0,0.0,0
1970,Italy,North America,UEFA,0,6,0.4615,1.8462,1
1970,Mexico,North America,CONCACAF,1,6,0.0588,0.7647,1
1970,Morocco,North America,CAF,0,0,0.0,0.0,0
1970,Peru,North America,CONMEBOL,0,1,0.0,0.5,1
1970,Romania,North America,UEFA,0,3,0.2,1.6,0
1970,Russia,North America,UEFA,0,3,0.7,1.9,1
1970,Sweden,North America,UEFA,0,3,0.5556,2.1111,0
1970,Uruguay,North America,CONMEBOL,0,5,0.6429,2.5,1
1974,Argentina,Europe,CONMEBOL,0,5,0.5385,1.7692,0
1974,Australia,Europe,AFC,0,0,0.0,0.0,0
1974,Brazil,Europe,CONMEBOL,0,9,0.625,2.5417,1
1974,Bulgaria,Europe,UEFA,1,3,0.0,0.7778,0
1974,Chile,Europe,CONMEBOL,0,4,0.4167,1.4167,0
1974,DR Congo,Europe,CAF,0,0,0.0,0.0,0
1974,German DR,Europe,UEFA,1,0,0.0,0.0,0
1974,Germany,Europe,UEFA,1,7,0.6111,2.7778,1
1974,Haiti,Europe,CONCACAF,0,0,0.0,0.0,0
1974,Italy,Europe,UEFA,1,7,0.4375,1.5625,0
1974,Netherlands,Europe,UEFA,1,2,0.0,1.0,1
1974,Poland,Europe,UEFA,1,1,0.0,5.0,1
1974,Scotland,Europe,UEFA,1,2,0.0,0.8,0
1974,Serbia,Europe,UEFA,1,5,0.6154,2.3077,0
1974,Sweden,Europe,UEFA,1,4,0.5,1.75,0
1974,Uruguay,Europe,CONMEBOL,0,6,0.5882,2.1765,0
1978,Argentina,South America,CONMEBOL,1,6,0.4211,1.6842,1
1978,Austria,South America,UEFA,0,3,0.5,1.8333,0
1978,Brazil,South America,CONMEBOL,1,10,0.6,2.2333,1
1978,France,South America,UEFA,0,6,0.3846,1.9231,0
1978,Germany,South America,UEFA,0,8,0.6667,2.5417,0
1978,Hungary,South America,UEFA,0,6,0.6429,3.5,0
1978,Iran,South America,AFC,0,0,0.0,0.0,0
1978,Italy,South America,UEFA,0,8,0.4211,1.5789,1
1978,Mexico,South America,CONCACAF,0,7,0.15,0.9,0
1978,Netherlands,South America,UEFA,0,3,0.625,2.0,1
