year,avg_total_goals,avg_abs_goal_diff,n_matches,group_stage_share,n_teams,overall_advance_rate,host_region_team_share,share_UEFA,share_CONMEBOL,share_CONCACAF,share_CAF,share_AFC,share_OFC,advance_rate_UEFA,advance_rate_CONMEBOL,advance_rate_CONCACAF,advance_rate_CAF,advance_rate_AFC,advance_rate_OFC,cluster_kmeans,cluster_hier,pca1,pca2
1930,3.888888888888889,2.6666666666666665,18,0.8333333333333334,13,0.3076923076923077,0.5384615384615384,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.0,0.0,0.0,0.25,0.2857142857142857,0.5,0.0,0.0,0.0,2,2,-3.7542308331709546,2.8276266718923067
1934,4.117647058823529,1.5294117647058822,17,0.47058823529411764,16,0.5,0.75,0.75,0.125,0.0625,0.0625,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,-2.185831314819939,-2.9959081491289115
1938,4.666666666666667,2.111111111111111,18,0.5,14,0.5,0.7857142857142857,0.7857142857142857,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.45454545454545453,1.0,1.0,0.0,0.0,0.0,0,0,-1.7217614209415801,-3.761115090144497
1950,4.0,2.272727272727273,22,1.0,13,0.0,0.38461538461538464,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,-4.53620752487704,3.8799561596675787
1954,5.384615384615385,3.0,26,0.6923076923076923,16,0.5,0.75,0.75,0.125,0.0625,0.0,0.0625,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0,0,-2.9669070642432214,-2.936093405463224
1958,3.6,1.542857142857143,35,0.7714285714285715,16,0.5,0.75,0.75,0.1875,0.0625,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,0.0,0.0,0.0,0.0,0,0,-2.2172133241197725,-1.69780413442418
1962,2.78125,1.53125,32,0.75,16,0.5,0.3125,0.625,0.3125,0.0625,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0,0,-1.6444666494013147,-0.47553268745895494
1966,2.78125,1.53125,32,0.75,16,0.5,0.625,0.625,0.25,0.0625,0.0,0.0625,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0,0,-1.0136686424829717,-0.8087413659953211
1970,2.96875,1.53125,32,0.75,16,0.5,0.125,0.625,0.1875,0.125,0.0625,0.0,0.0,0.4,1.0,0.5,0.0,0.0,0.0,0,0,-0.5568506249231264,0.015943558832864267
1974,2.5526315789473686,1.6578947368421053,38,0.9473684210526315,16,0.25,0.5625,0.5625,0.25,0.0625,0.0625,0.0625,0.0,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0,0,-1.6948015338017297,1.2407662477313346
1978,2.6842105263157894,1.4736842105263157,38,0.9473684210526315,16,0.25,0.1875,0.625,0.1875,0.0625,0.0625,0.0625,0.0,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0,0,-1.1953726102426487,1.1594220414312608
1982,2.8076923076923075,1.3846153846153846,52,0.9230769230769231,24,0.16666666666666666,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0,0,-0.9515022701745207,2.292466183436625
1986,2.5384615384615383,1.4230769230769231,52,0.6923076923076923,24,0.6666666666666666,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.7142857142857143,1.0,0.5,0.5,0.0,0.0,1,1,2.6763656846869117,-1.0462559663139699
1990,2.2115384615384617,1.2115384615384615,52,0.6923076923076923,24,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.7142857142857143,1.0,0.5,0.5,0.0,0.0,1,1,2.459177036444078,-1.4162537883161275
1994,2.7115384615384617,1.3653846153846154,52,0.6923076923076923,24,0.6666666666666666,0.08333333333333333,0.5416666666666666,0.16666666666666666,0.08333333333333333,0.125,0.08333333333333333,0.0,0.7692307692307693,0.5,1.0,0.3333333333333333,0.5,0.0,1,1,2.974022063339152,-0.7348987647157551
1998,2.671875,1.296875,64,0.75,32,0.5,0.46875,0.46875,0.15625,0.09375,0.15625,0.125,0.0,0.6666666666666666,0.8,0.3333333333333333,0.2,0.0,0.0,1,1,2.753091237379647,0.19565237755303166
2002,2.515625,1.296875,64,0.75,32,0.5,0.125,0.46875,0.15625,0.09375,0.15625,0.125,0.0,0.6,0.4,0.6666666666666666,0.2,0.5,0.0,1,1,3.2488933465558367,0.826596481142426
2006,2.296875,1.421875,64,0.75,32,0.5,0.4375,0.4375,0.125,0.125,0.15625,0.15625,0.0,0.7142857142857143,0.75,0.25,0.2,0.2,0.0,1,1,3.2039021783164086,0.645724470665081
2010,2.265625,1.234375,64,0.75,32,0.5,0.1875,0.40625,0.15625,0.09375,0.1875,0.125,0.03125,0.46153846153846156,1.0,0.6666666666666666,0.16666666666666666,0.5,0.0,1,1,3.7868188972364054,1.4768898019691787
2014,2.671875,1.421875,64,0.75,32,0.5,0.1875,0.40625,0.1875,0.125,0.15625,0.125,0.0,0.46153846153846156,0.8333333333333334,0.75,0.4,0.0,0.0,1,1,3.3365433692403794,1.3115593576392557
