date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,stage,is_group_stage,host_continent,goal_difference,total_goals
1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 4,True,South America,-3,3
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1,True,South America,3,5
1930-07-14,Brazil,Serbia,1,2,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 2,True,South America,-1,3
1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 3,True,South America,-2,4
1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1,True,South America,1,1
1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1,True,South America,3,3
1930-07-17,Bolivia,Serbia,0,4,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 2,True,South America,-4,4
1930-07-17,Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 4,True,South America,-3,3
1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,False,1930,Group 3,True,South America,1,1
1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1,True,South America,3,9
1930-07-19,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1,True,South America,1,1
1930-07-20,Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 4,True,South America,-1,1
1930-07-20,Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 2,True,South America,-4,4
1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,False,1930,Group 3,True,South America,4,4
1930-07-22,Argentina,Chile,3,1,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1,True,South America,2,4
1930-07-26,Argentina,United States,6,1,FIFA World Cup,Montevideo,Uruguay,True,1930,Semi-finals,False,South America,5,7
1930-07-27,Uruguay,Serbia,6,1,FIFA World Cup,Montevideo,Uruguay,False,1930,Semi-finals,False,South America,5,7
1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,False,1930,Final,False,South America,2,6
1934-05-27,Argentina,Sweden,2,3,FIFA World Cup,Bologna,Italy,True,1934,Preliminary round,True,Europe,-1,5
1934-05-27,Austria,France,3,2,FIFA World Cup,Turin,Italy,True,1934,Preliminary round,True,Europe,1,5
1934-05-27,Belgium,Germany,2,5,FIFA World Cup,Florence,Italy,True,1934,Preliminary round,True,Europe,-3,7
1934-05-27,Brazil,Spain,1,3,FIFA World Cup,Genoa,Italy,True,1934,Preliminary round,True,Europe,-2,4
1934-05-27,Czech Republic,Romania,2,1,FIFA World Cup,Trieste,Italy,True,1934,Preliminary round,True,Europe,1,3
1934-05-27,Egypt,Hungary,2,4,FIFA World Cup,Naples,Italy,True,1934,Preliminary round,True,Europe,-2,6
1934-05-27,Italy,United States,7,1,FIFA World Cup,Rome,Italy,False,1934,Preliminary round,True,Europe,6,8
1934-05-27,Netherlands,Switzerland,2,3,FIFA World Cup,Milan,Italy,True,1934,Preliminary round,True,Europe,-1,5
1934-05-31,Austria,Hungary,2,1,FIFA World Cup,Bologna,Italy,True,1934,Quarter-finals,False,Europe,1,3
1934-05-31,Czech Republic,Switzerland,3,2,FIFA World Cup,Turin,Italy,True,1934,Quarter-finals,False,Europe,1,5
1934-05-31,Germany,Sweden,2,1,FIFA World Cup,Milan,Italy,True,1934,Quarter-finals,False,Europe,1,3
1934-05-31,Italy,Spain,1,1,FIFA World Cup,Florence,Italy,False,1934,Quarter-finals,False,Europe,0,2
1934-06-01,Italy,Spain,1,0,FIFA World Cup,Florence,Italy,False,1934,Quarter-finals,False,Europe,1,1
1934-06-03,Czech Republic,Germany,3,1,FIFA World Cup,Rome,Italy,True,1934,Semi-finals,False,Europe,2,4
1934-06-03,Italy,Austria,1,0,FIFA World Cup,Milan,Italy,False,1934,Semi-finals,False,Europe,1,1
1934-06-07,Austria,Germany,2,3,FIFA World Cup,Naples,Italy,True,1934,Match for third place,False,Europe,-1,5
1934-06-10,Italy,Czech Republic,2,1,FIFA World Cup,Rome,Italy,False,1934,Final,False,Europe,1,3
1938-06-04,Germany,Switzerland,1,1,FIFA World Cup,Paris,France,True,1938,First round,True,Europe,0,2
1938-06-05,Brazil,Poland,6,5,FIFA World Cup,Strasbourg,France,True,1938,First round,True,Europe,1,11
1938-06-05,Cuba,Romania,3,3,FIFA World Cup,Toulouse,France,True,1938,First round,True,Europe,0,6
1938-06-05,Czech Republic,Netherlands,3,0,FIFA World Cup,Le Havre,France,True,1938,First round,True,Europe,3,3
1938-06-05,France,Belgium,3,1,FIFA World Cup,Colombes,France,False,1938,First round,True,Europe,2,4
1938-06-05,Hungary,Indonesia,6,0,FIFA World Cup,Reims,France,True,1938,First round,True,Europe,6,6
1938-06-05,Italy,Norway,2,1,FIFA World Cup,Marseille,France,True,1938,First round,True,Europe,1,3
1938-06-09,Cuba,Romania,2,1,FIFA World Cup,Toulouse,France,True,1938,First round,True,Europe,1,3
1938-06-09,Germany,Switzerland,2,4,FIFA World Cup,Paris,France,True,1938,First round,True,Europe,-2,6
1938-06-12,Brazil,Czech Republic,1,1,FIFA World Cup,Bordeaux,France,True,1938,Quarter-finals,False,Europe,0,2
1938-06-12,Cuba,Sweden,0,8,FIFA World Cup,Antibes,France,True,1938,Quarter-finals,False,Europe,-8,8
1938-06-12,France,Italy,1,3,FIFA World Cup,Colombes,France,False,1938,Quarter-finals,False,Europe,-2,4
1938-06-12,Hungary,Switzerland,2,0,FIFA World Cup,Lille,France,True,1938,Quarter-finals,False,Europe,2,2
1938-06-14,Brazil,Czech Republic,2,1,FIFA World Cup,Bordeaux,France,True,1938,Quarter-finals,False,Europe,1,3
1938-06-16,Brazil,Italy,1,2,FIFA World Cup,Marseille,France,True,1938,Semi-finals,False,Europe,-1,3
1938-06-16,Hungary,Sweden,5,1,FIFA World Cup,Paris,France,True,1938,Semi-finals,False,Europe,4,6
1938-06-19,Brazil,Sweden,4,2,FIFA World Cup,Bordeaux,France,True,1938,Match for third place,False,Europe,2,6
1938-06-19,Hungary,Italy,2,4,FIFA World Cup,Colombes,France,True,1938,Final,False,Europe,-2,6
1950-06-24,Brazil,Mexico,4,0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 1,True,South America,4,4
1950-06-25,Chile,England,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,Group 2,True,South America,-2,2
1950-06-25,Italy,Sweden,2,3,FIFA World Cup,São Paulo,Brazil,True,1950,Group 3,True,South America,-1,5
1950-06-25,Spain,United States,3,1,FIFA World Cup,Curitiba,Brazil,True,1950,Group 2,True,South America,2,4
1950-06-25,Switzerland,Serbia,0,3,FIFA World Cup,Belo Horizonte,Brazil,True,1950,Group 1,True,South America,-3,3
1950-06-28,Brazil,Switzerland,2,2,FIFA World Cup,São Paulo,Brazil,False,1950,Group 1,True,South America,0,4
1950-06-28,Mexico,Serbia,1,4,FIFA World Cup,Porto Alegre,Brazil,True,1950,Group 1,True,South America,-3,5
1950-06-29,Chile,Spain,0,2,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,Group 2,True,South America,-2,2
1950-06-29,England,United States,0,1,FIFA World Cup,Belo Horizonte,Brazil,True,1950,Group 2,True,South America,-1,1
1950-06-29,Paraguay,Sweden,2,2,FIFA World Cup,Curitiba,Brazil,True,1950,Group 3,True,South America,0,4
1950-07-01,Brazil,Serbia,2,0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 1,True,South America,2,2
1950-07-02,Bolivia,Uruguay,0,8,FIFA World Cup,Belo Horizonte,Brazil,True,1950,Group 4,True,South America,-8,8
1950-07-02,Chile,United States,5,2,FIFA World Cup,Recife,Brazil,True,1950,Group 2,True,South America,3,7
1950-07-02,England,Spain,0,1,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,Group 2,True,South America,-1,1
1950-07-02,Italy,Paraguay,2,0,FIFA World Cup,São Paulo,Brazil,True,1950,Group 3,True,South America,2,2
1950-07-02,Mexico,Switzerland,1,2,FIFA World Cup,Porto Alegre,Brazil,True,1950,Group 1,True,South America,-1,3
1950-07-09,Brazil,Sweden,7,1,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 6,True,South America,6,8
1950-07-09,Spain,Uruguay,2,2,FIFA World Cup,São Paulo,Brazil,True,1950,Group 6,True,South America,0,4
1950-07-13,Brazil,Spain,6,1,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 6,True,South America,5,7
