date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,stage
1930-07-13,Belgium,United States,0.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 4
1930-07-13,France,Mexico,4.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1
1930-07-14,Brazil,Serbia,1.0,2.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 2
1930-07-14,Peru,Romania,1.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 3
1930-07-15,Argentina,France,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1
1930-07-16,Chile,Mexico,3.0,0.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1
1930-07-17,Bolivia,Serbia,0.0,4.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 2
1930-07-17,Paraguay,United States,0.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 4
1930-07-18,Uruguay,Peru,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,False,1930,Group 3
1930-07-19,Argentina,Mexico,6.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1
1930-07-19,Chile,France,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1
1930-07-20,Belgium,Paraguay,0.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 4
1930-07-20,Bolivia,Brazil,0.0,4.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 2
1930-07-21,Uruguay,Romania,4.0,0.0,FIFA World Cup,Montevideo,Uruguay,False,1930,Group 3
1930-07-22,Argentina,Chile,3.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Group 1
1930-07-26,Argentina,United States,6.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930,Semi-finals
1930-07-27,Uruguay,Serbia,6.0,1.0,FIFA World Cup,Montevideo,Uruguay,False,1930,Semi-finals
1930-07-30,Uruguay,Argentina,4.0,2.0,FIFA World Cup,Montevideo,Uruguay,False,1930,Final
1934-05-27,Argentina,Sweden,2.0,3.0,FIFA World Cup,Bologna,Italy,True,1934,Preliminary round
1934-05-27,Austria,France,3.0,2.0,FIFA World Cup,Turin,Italy,True,1934,Preliminary round
1934-05-27,Belgium,Germany,2.0,5.0,FIFA World Cup,Florence,Italy,True,1934,Preliminary round
1934-05-27,Brazil,Spain,1.0,3.0,FIFA World Cup,Genoa,Italy,True,1934,Preliminary round
1934-05-27,Czech Republic,Romania,2.0,1.0,FIFA World Cup,Trieste,Italy,True,1934,Preliminary round
1934-05-27,Egypt,Hungary,2.0,4.0,FIFA World Cup,Naples,Italy,True,1934,Preliminary round
1934-05-27,Italy,United States,7.0,1.0,FIFA World Cup,Rome,Italy,False,1934,Preliminary round
1934-05-27,Netherlands,Switzerland,2.0,3.0,FIFA World Cup,Milan,Italy,True,1934,Preliminary round
1934-05-31,Austria,Hungary,2.0,1.0,FIFA World Cup,Bologna,Italy,True,1934,Quarter-finals
1934-05-31,Czech Republic,Switzerland,3.0,2.0,FIFA World Cup,Turin,Italy,True,1934,Quarter-finals
1934-05-31,Germany,Sweden,2.0,1.0,FIFA World Cup,Milan,Italy,True,1934,Quarter-finals
1934-05-31,Italy,Spain,1.0,1.0,FIFA World Cup,Florence,Italy,False,1934,Quarter-finals
1934-06-01,Italy,Spain,1.0,0.0,FIFA World Cup,Florence,Italy,False,1934,Quarter-finals
1934-06-03,Czech Republic,Germany,3.0,1.0,FIFA World Cup,Rome,Italy,True,1934,Semi-finals
1934-06-03,Italy,Austria,1.0,0.0,FIFA World Cup,Milan,Italy,False,1934,Semi-finals
1934-06-07,Austria,Germany,2.0,3.0,FIFA World Cup,Naples,Italy,True,1934,Match for third place
1934-06-10,Italy,Czech Republic,2.0,1.0,FIFA World Cup,Rome,Italy,False,1934,Final
1938-06-04,Germany,Switzerland,1.0,1.0,FIFA World Cup,Paris,France,True,1938,First round
1938-06-05,Brazil,Poland,6.0,5.0,FIFA World Cup,Strasbourg,France,True,1938,First round
1938-06-05,Cuba,Romania,3.0,3.0,FIFA World Cup,Toulouse,France,True,1938,First round
1938-06-05,Czech Republic,Netherlands,3.0,0.0,FIFA World Cup,Le Havre,France,True,1938,First round
1938-06-05,France,Belgium,3.0,1.0,FIFA World Cup,Colombes,France,False,1938,First round
1938-06-05,Hungary,Indonesia,6.0,0.0,FIFA World Cup,Reims,France,True,1938,First round
1938-06-05,Italy,Norway,2.0,1.0,FIFA World Cup,Marseille,France,True,1938,First round
1938-06-09,Cuba,Romania,2.0,1.0,FIFA World Cup,Toulouse,France,True,1938,First round
1938-06-09,Germany,Switzerland,2.0,4.0,FIFA World Cup,Paris,France,True,1938,First round
1938-06-12,Brazil,Czech Republic,1.0,1.0,FIFA World Cup,Bordeaux,France,True,1938,Quarter-finals
1938-06-12,Cuba,Sweden,0.0,8.0,FIFA World Cup,Antibes,France,True,1938,Quarter-finals
1938-06-12,France,Italy,1.0,3.0,FIFA World Cup,Colombes,France,False,1938,Quarter-finals
1938-06-12,Hungary,Switzerland,2.0,0.0,FIFA World Cup,Lille,France,True,1938,Quarter-finals
1938-06-14,Brazil,Czech Republic,2.0,1.0,FIFA World Cup,Bordeaux,France,True,1938,Quarter-finals
1938-06-16,Brazil,Italy,1.0,2.0,FIFA World Cup,Marseille,France,True,1938,Semi-finals
1938-06-16,Hungary,Sweden,5.0,1.0,FIFA World Cup,Paris,France,True,1938,Semi-finals
1938-06-19,Brazil,Sweden,4.0,2.0,FIFA World Cup,Bordeaux,France,True,1938,Match for third place
1938-06-19,Hungary,Italy,2.0,4.0,FIFA World Cup,Colombes,France,True,1938,Final
1950-06-24,Brazil,Mexico,4.0,0.0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 1
1950-06-25,Chile,England,0.0,2.0,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,Group 2
1950-06-25,Italy,Sweden,2.0,3.0,FIFA World Cup,São Paulo,Brazil,True,1950,Group 3
1950-06-25,Spain,United States,3.0,1.0,FIFA World Cup,Curitiba,Brazil,True,1950,Group 2
1950-06-25,Switzerland,Serbia,0.0,3.0,FIFA World Cup,Belo Horizonte,Brazil,True,1950,Group 1
1950-06-28,Brazil,Switzerland,2.0,2.0,FIFA World Cup,São Paulo,Brazil,False,1950,Group 1
1950-06-28,Mexico,Serbia,1.0,4.0,FIFA World Cup,Porto Alegre,Brazil,True,1950,Group 1
1950-06-29,Chile,Spain,0.0,2.0,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,Group 2
1950-06-29,England,United States,0.0,1.0,FIFA World Cup,Belo Horizonte,Brazil,True,1950,Group 2
1950-06-29,Paraguay,Sweden,2.0,2.0,FIFA World Cup,Curitiba,Brazil,True,1950,Group 3
1950-07-01,Brazil,Serbia,2.0,0.0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 1
1950-07-02,Bolivia,Uruguay,0.0,8.0,FIFA World Cup,Belo Horizonte,Brazil,True,1950,Group 4
1950-07-02,Chile,United States,5.0,2.0,FIFA World Cup,Recife,Brazil,True,1950,Group 2
1950-07-02,England,Spain,0.0,1.0,FIFA World Cup,Rio de Janeiro,Brazil,True,1950,Group 2
1950-07-02,Italy,Paraguay,2.0,0.0,FIFA World Cup,São Paulo,Brazil,True,1950,Group 3
1950-07-02,Mexico,Switzerland,1.0,2.0,FIFA World Cup,Porto Alegre,Brazil,True,1950,Group 1
1950-07-09,Brazil,Sweden,7.0,1.0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 6
1950-07-09,Spain,Uruguay,2.0,2.0,FIFA World Cup,São Paulo,Brazil,True,1950,Group 6
1950-07-13,Brazil,Spain,6.0,1.0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 6
1950-07-13,Sweden,Uruguay,2.0,3.0,FIFA World Cup,São Paulo,Brazil,True,1950,Group 6
1950-07-16,Brazil,Uruguay,1.0,2.0,FIFA World Cup,Rio de Janeiro,Brazil,False,1950,Group 6
1950-07-16,Spain,Sweden,1.0,3.0,FIFA World Cup,São Paulo,Brazil,True,1950,Group 6
1954-06-16,Austria,Scotland,1.0,0.0,FIFA World Cup,Zürich,Switzerland,True,1954,Group 3
1954-06-16,Brazil,Mexico,5.0,0.0,FIFA World Cup,Geneva,Switzerland,True,1954,Group 1
1954-06-16,Czech Republic,Uruguay,0.0,2.0,FIFA World Cup,Bern,Switzerland,True,1954,Group 3
1954-06-16,France,Serbia,0.0,1.0,FIFA World Cup,Lausanne,Switzerland,True,1954,Group 1
1954-06-17,Belgium,England,4.0,4.0,FIFA World Cup,Basel,Switzerland,True,1954,Group 4
1954-06-17,Germany,Turkey,4.0,1.0,FIFA World Cup,Bern,Switzerland,True,1954,Group 2
1954-06-17,Hungary,South Korea,9.0,0.0,FIFA World Cup,Zürich,Switzerland,True,1954,Group 2
1954-06-17,Switzerland,Italy,2.0,1.0,FIFA World Cup,Lausanne,Switzerland,False,1954,Group 4
1954-06-19,Austria,Czech Republic,5.0,0.0,FIFA World Cup,Zürich,Switzerland,True,1954,Group 3
1954-06-19,Brazil,Serbia,1.0,1.0,FIFA World Cup,Lausanne,Switzerland,True,1954,Group 1
1954-06-19,France,Mexico,3.0,2.0,FIFA World Cup,Geneva,Switzerland,True,1954,Group 1
1954-06-19,Scotland,Uruguay,0.0,7.0,FIFA World Cup,Basel,Switzerland,True,1954,Group 3
1954-06-20,Belgium,Italy,1.0,4.0,FIFA World Cup,Lugano,Switzerland,True,1954,Group 4
1954-06-20,Germany,Hungary,3.0,8.0,FIFA World Cup,Basel,Switzerland,True,1954,Group 2
1954-06-20,South Korea,Turkey,0.0,7.0,FIFA World Cup,Geneva,Switzerland,True,1954,Group 2
